iter	RMSE
0	36.34787038
1	33.49692743
2	30.88523894
3	28.48340252
4	26.26776658
5	24.2441907
6	22.38372101
7	20.67508504
8	19.10153307
9	17.65671352
10	16.3397756
11	15.1462234
12	14.03678778
13	13.01929047
14	12.08386182
15	11.25055337
16	10.47334401
17	9.770056282
18	9.12331192
19	8.528458179
20	7.989138568
21	7.506361044
22	7.063257432
23	6.664015607
24	6.302226016
25	5.973284885
26	5.678579675
27	5.410634221
28	5.170006714
29	4.956846712
30	4.76616629
31	4.597801355
32	4.448125132
33	4.312038074
34	4.189976683
35	4.085669153
36	3.983451867
37	3.889382153
38	3.803213637
39	3.73969529
40	3.669716793
41	3.618008202
42	3.570722865
43	3.52959841
44	3.480044192
45	3.43390875
46	3.401429699
47	3.370025366
48	3.345052864
49	3.31279724
50	3.288463027
51	3.26090339
52	3.227363117
53	3.20884813
54	3.180569614
55	3.162779859
56	3.149215343
57	3.124406027
58	3.097526259
59	3.083675839
60	3.064611712
61	3.043827049
62	3.030022623
63	3.018261771
64	3.007767335
65	2.993413823
66	2.984053465
67	2.970511351
68	2.959524301
69	2.949263129
70	2.94128622
71	2.931673257
72	2.921165159
73	2.912812816
74	2.906570966
75	2.89575236
76	2.883553708
77	2.869674522
78	2.85866228
79	2.850090554
80	2.835068408
81	2.82870177
82	2.819310131
83	2.810175379
84	2.803256084
85	2.796321985
86	2.784575915
87	2.772779563
88	2.766351627
89	2.758849776
90	2.753464024
91	2.746869869
92	2.741627004
93	2.737214475
94	2.732680936
95	2.726450851
96	2.718249564
97	2.709392851
98	2.704178825
99	2.697560121
100	2.691323213
101	2.685259477
102	2.679098125
103	2.670476757
104	2.665722072
105	2.660961798
106	2.654668589
107	2.649714704
108	2.645121164
109	2.640986294
110	2.634379963
111	2.624320917
112	2.619284677
113	2.612103192
114	2.607172194
115	2.601848323
116	2.596879001
117	2.593161298
118	2.588080017
119	2.579176749
120	2.572222239
121	2.565775354
122	2.559195118
123	2.551984196
124	2.548952673
125	2.543273794
126	2.538074207
127	2.534363769
128	2.52835364
129	2.524807771
130	2.519028576
131	2.515335578
132	2.512023187
133	2.505358994
134	2.49878207
135	2.492212382
136	2.487914623
137	2.482381247
138	2.477724969
139	2.465414591
140	2.462116325
141	2.456175685
142	2.453250343
143	2.448903849
144	2.442628261
145	2.439219244
146	2.433121443
147	2.427586732
148	2.423216014
149	2.417201329
150	2.413056394
151	2.407552474
152	2.402546872
153	2.397064721
154	2.392071683
155	2.387502934
156	2.384775547
157	2.382304733
158	2.376664976
159	2.371354004
160	2.36635294
161	2.363660579
162	2.361169957
163	2.357698144
164	2.354532596
165	2.349972196
166	2.346781608
167	2.341808835
168	2.337842482
169	2.334089665
170	2.33028294
171	2.326602697
172	2.324215894
173	2.318895608
174	2.314046453
175	2.309545173
176	2.30677327
177	2.304153137
178	2.301979878
179	2.297832348
180	2.293574533
181	2.289057282
182	2.286588411
183	2.283016417
184	2.280170382
185	2.277353478
186	2.273863407
187	2.27134778
188	2.269078329
189	2.266169293
190	2.25645633
191	2.25350168
192	2.25177209
193	2.250015537
194	2.247496901
195	2.244951936
196	2.242893817
197	2.24109132
198	2.237060256
199	2.234756705
200	2.231392182
201	2.221253521
202	2.218805684
203	2.21641883
204	2.211529299
205	2.20929219
206	2.207157628
207	2.205451942
208	2.204315702
209	2.202765641
210	2.199691194
211	2.196363166
212	2.193311329
213	2.190829199
214	2.187670318
215	2.185323657
216	2.182019702
217	2.178742708
218	2.176818184
219	2.175317071
220	2.17249621
221	2.169016091
222	2.166168105
223	2.16439936
224	2.161812525
225	2.159827791
226	2.157190912
227	2.154320625
228	2.152885018
229	2.149431919
230	2.147814894
231	2.139415555
232	2.135785904
233	2.131456775
234	2.129855258
235	2.123632191
236	2.121398419
237	2.118331266
238	2.116799266
239	2.113970065
240	2.112179408
241	2.110189623
242	2.10866826
243	2.103313832
244	2.101100732
245	2.098389621
246	2.095202002
247	2.093110647
248	2.090769446
249	2.088569257
250	2.086725071
251	2.083843843
252	2.082434515
253	2.080368247
254	2.078730936
255	2.077011884
256	2.075213176
257	2.073849988
258	2.070732922
259	2.068498217
260	2.06655882
261	2.064063412
262	2.061795381
263	2.06061596
264	2.059194813
265	2.055451591
266	2.053849767
267	2.051421672
268	2.050028946
269	2.048390784
270	2.046730357
271	2.045446127
272	2.043437029
273	2.040220837
274	2.038483918
275	2.037155339
276	2.034956308
277	2.032678204
278	2.030180653
279	2.0292795
280	2.026858913
281	2.025348937
282	2.023347916
283	2.021904834
284	2.019934564
285	2.01756272
286	2.01600938
287	2.013783651
288	2.011857145
289	2.009615272
290	2.0076832
291	2.0065081
292	1.998371134
293	1.996263432
294	1.99316889
295	1.990670882
296	1.988820424
297	1.987484439
298	1.98604557
299	1.984046528
300	1.982216361
301	1.980719708
302	1.978963647
303	1.9770778
304	1.975665239
305	1.974369829
306	1.973070792
307	1.971207065
308	1.968578095
309	1.96753959
310	1.966103668
311	1.964390647
312	1.963576313
313	1.962228715
314	1.960696853
315	1.958791668
316	1.956853602
317	1.955904271
318	1.954538781
319	1.953261958
320	1.951742245
321	1.950273182
322	1.949018502
323	1.947791342
324	1.941362039
325	1.940526054
326	1.936656543
327	1.935406493
328	1.933901346
329	1.932784602
330	1.93051628
331	1.92929855
332	1.927530835
333	1.925743099
334	1.924574196
335	1.923048483
336	1.921220644
337	1.918699167
338	1.917578891
339	1.916025073
340	1.914314659
341	1.913404309
342	1.912480358
343	1.911412053
344	1.909374824
345	1.907889061
346	1.906529646
347	1.905431376
348	1.904405825
349	1.90319682
350	1.901474519
351	1.90014317
352	1.895400993
353	1.89326891
354	1.892069393
355	1.890782737
356	1.89000266
357	1.888178512
358	1.887435042
359	1.885113571
360	1.883496009
361	1.882692214
362	1.876565562
363	1.875202817
364	1.874576466
365	1.87324427
366	1.87191034
367	1.871132653
368	1.86964587
369	1.86855466
370	1.86752979
371	1.865936281
372	1.864287581
373	1.863012225
374	1.861897135
375	1.860952057
376	1.860201221
377	1.859154903
378	1.857657147
379	1.856350817
