iter	Passed	Remaining
0	268	1342368
1	354	885133
2	440	733931
3	531	663431
4	618	617635
5	691	575168
6	775	553389
7	848	529636
8	927	514393
9	1000	499007
10	1083	491293
11	1165	484425
12	1231	472613
13	1306	465256
14	1379	458430
15	1454	452975
16	1543	452288
17	1632	451934
18	1709	448048
19	1783	444049
20	1862	441564
21	1944	439985
22	2021	437530
23	2097	434800
24	2175	432981
25	2251	430702
26	2332	429643
27	2406	427292
28	2479	425017
29	2553	423045
30	2633	422174
31	2705	420084
32	2776	417940
33	2853	416758
34	2935	416368
35	3007	414746
36	3084	413735
37	3171	414104
38	3246	413026
39	3321	411836
40	3410	412450
41	3477	410508
42	3550	409301
43	3622	408071
44	3704	407933
45	3776	406669
46	3842	404950
47	3916	404037
48	3987	402892
49	4061	402128
50	4131	400903
51	4215	401092
52	4297	401084
53	4365	399822
54	4446	399775
55	4526	399642
56	4596	398596
57	4676	398467
58	4760	398686
59	4826	397340
60	4906	397239
61	4989	397411
62	5065	396971
63	5133	395944
64	5196	394497
65	5274	394345
66	5343	393450
67	5427	393684
68	5497	392877
69	5574	392618
70	5640	391550
71	5708	390691
72	5774	389767
73	5836	388523
74	5903	387638
75	5981	387534
76	6067	387924
77	6155	388452
78	6227	387946
79	6302	387611
80	6393	388251
81	6465	387772
82	6540	387436
83	6627	387857
84	6694	387116
85	6764	386528
86	6851	386906
87	6935	387106
88	7027	387765
89	7098	387268
90	7167	386658
91	7238	386153
92	7315	386002
93	7378	385075
94	7464	385411
95	7536	384977
96	7616	384978
97	7691	384710
98	7759	384135
99	7834	383907
100	7907	383529
101	7977	383093
102	8047	382590
103	8121	382350
104	8190	381814
105	8257	381233
106	8326	380772
107	8397	380387
108	8466	379887
109	8533	379338
110	8616	379511
111	8697	379569
112	8764	379033
113	8839	378857
114	8916	378748
115	8993	378665
116	9075	378768
117	9136	377983
118	9214	377950
119	9296	378057
120	9372	377914
121	9447	377757
122	9524	377666
123	9592	377201
124	9656	376619
125	9733	376500
126	9806	376277
127	9882	376138
128	9946	375578
129	10015	375188
130	10089	375020
131	10158	374642
132	10225	374182
133	10297	373933
134	10372	373779
135	10453	373858
136	10537	374039
137	10611	373868
138	10683	373625
139	10768	373827
140	10836	373420
141	10917	373503
142	10987	373196
143	11047	372534
144	11137	372921
145	11205	372554
146	11286	372607
147	11364	372557
148	11440	372461
149	11523	372596
150	11598	372459
151	11676	372429
152	11752	372301
153	11838	372523
154	11920	372608
155	11995	372489
156	12061	372074
157	12123	371541
158	12198	371396
159	12303	372172
160	12380	372102
161	12439	371482
162	12506	371140
163	12576	370840
164	12646	370591
165	12734	370832
166	12809	370699
167	12879	370439
168	12957	370395
169	13027	370129
170	13103	370043
171	13184	370076
172	13245	369566
173	13329	369713
174	13393	369277
175	13463	369031
176	13533	368771
177	13606	368589
178	13670	368185
179	13739	367924
180	13825	368094
181	13908	368187
182	13979	367961
183	14041	367529
184	14119	367495
185	14190	367277
186	14261	367053
187	14329	366764
188	14398	366504
189	14473	366403
190	14561	366630
191	14637	366548
192	14700	366137
193	14761	365684
194	14844	365795
195	14915	365589
196	14983	365319
197	15054	365109
198	15128	364994
199	15200	364807
200	15273	364655
201	15345	364481
202	15413	364222
203	15484	364026
204	15568	364149
205	15636	363880
206	15706	363672
207	15772	363384
208	15840	363111
209	15913	362986
210	15982	362739
211	16054	362579
212	16129	362503
213	16198	362261
214	16270	362112
215	16353	362194
216	16427	362094
217	16505	362051
218	16577	361897
219	16650	361779
220	16725	361679
221	16795	361488
222	16871	361409
223	16937	361127
224	17009	360980
225	17083	360867
226	17154	360697
227	17222	360458
228	17288	360198
229	17364	360115
230	17428	359813
231	17504	359738
232	17582	359726
233	17655	359599
234	17723	359364
235	17803	359379
236	17873	359211
237	17949	359134
238	18024	359052
239	18107	359123
240	18184	359091
241	18259	359006
242	18328	358800
243	18404	358742
244	18475	358573
245	18545	358390
246	18624	358392
247	18696	358255
248	18765	358057
249	18852	358193
250	18932	358200
251	19008	358152
252	19077	357953
253	19160	358007
254	19235	357938
255	19304	357743
256	19375	357577
257	19450	357495
258	19514	357214
259	19594	357223
260	19669	357133
261	19744	357062
262	19819	356984
263	19888	356781
264	19959	356630
265	20033	356540
266	20096	356238
267	20179	356297
268	20252	356179
269	20321	355994
270	20387	355774
271	20459	355638
272	20537	355605
273	20616	355593
274	20682	355361
275	20746	355095
276	20821	355021
277	20897	354960
278	20972	354872
279	21034	354582
280	21118	354656
281	21196	354626
282	21282	354739
283	21341	354395
284	21415	354294
285	21484	354116
286	21548	353868
287	21617	353683
288	21682	353445
289	21752	353286
290	21828	353228
291	21891	352969
292	21967	352910
293	22045	352885
294	22121	352815
295	22195	352735
296	22261	352509
297	22332	352375
298	22398	352163
299	22481	352215
300	22559	352190
301	22634	352113
302	22713	352097
303	22793	352102
304	22865	351976
305	22934	351818
306	23004	351667
307	23072	351487
308	23150	351459
309	23216	351238
310	23291	351168
311	23366	351098
312	23436	350946
313	23508	350830
314	23584	350775
315	23660	350711
316	23743	350760
317	23813	350606
318	23883	350468
319	23967	350529
320	24047	350528
321	24123	350470
322	24193	350316
323	24257	350085
324	24335	350058
325	24401	349852
326	24480	349836
327	24545	349622
328	24623	349588
329	24690	349408
330	24763	349303
331	24844	349319
332	24916	349204
333	24994	349173
334	25054	348889
335	25123	348736
336	25194	348616
337	25268	348529
338	25345	348477
339	25422	348443
340	25495	348343
341	25563	348174
342	25626	347942
343	25698	347832
344	25776	347793
345	25850	347718
346	25930	347702
